"In uncertain times, I usually expect the best.",I’m always optimistic about my future.,I generally expect things to go my way.,"Overall, I expect more good things to happen to me than bad.","I feel that I am a person of worth, at least on an equal plane with others.",I take a positive attitude toward myself.,I am able to do things as well as most other people.,I feel I have a number of good qualities.,I tend to look on the bright side of things.,I am generally satisfied with myself.,I am confident in my ability to achieve my goals.,I can handle most situations that come my way.,I bounce back quickly after experiencing difficulties.,I can handle stress effectively.,I am aware of my emotions and how they affect my behavior.,I can empathize with others' feelings.,I remain calm under pressure.,I handle stressful situations effectively.,I am highly motivated to achieve my goals.,I persist in the face of challenges.,I communicate effectively with others.,I am good at building and maintaining relationships.,I am satisfied with my life as a whole.,I feel fulfilled in my daily activities.,Optimism,Self_Efficacy,Resilience,Emotional_Intelligence,Stress_Tolerance,Motivation,Social_Skills,Life_Satisfaction
Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Neutral,Agree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0
Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Disagree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,5.0,5.0,5.0,5.0,2.0,5.0,4.0,3.0
Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0
Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Neutral,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
Neutral,Disagree,Strongly Agree,Agree,Strongly Disagree,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0
Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,5.0,5.0,2.0,5.0,5.0,4.0,3.0,3.0
Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Disagree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Disagree,Neutral,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Agree,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Agree,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0
Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Agree,Agree,Neutral,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0
Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0
Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,5.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0
Neutral,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
Strongly Disagree,Agree,Strongly Disagree,Neutral,Agree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Neutral,Neutral,Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0
Disagree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Neutral,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0
Agree,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
Neutral,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0
Neutral,Disagree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Disagree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0
Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,5.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0
Strongly Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Neutral,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Disagree,Neutral,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Neutral,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Disagree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0
Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Disagree,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0
Strongly Disagree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Neutral,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0
Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,5.0,5.0,5.0,2.0,5.0,4.0,5.0,3.0
Disagree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Disagree,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0
Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0
Agree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Agree,5.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0
Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0
Neutral,Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Strongly Agree,Agree,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
Disagree,Neutral,Strongly Disagree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
Agree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
Neutral,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0
Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,5.0,5.0,5.0,4.0,2.0,3.0,5.0,5.0
Disagree,Neutral,Strongly Disagree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0
Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0
Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Disagree,Neutral,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
Agree,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Neutral,Disagree,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0
Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Agree,Strongly Disagree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0
Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0
Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Agree,Agree,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Agree,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0
Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0
Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Neutral,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Agree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Neutral,Disagree,Neutral,Disagree,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
Disagree,Strongly Disagree,Agree,Neutral,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
Neutral,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Disagree,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,5.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0
Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0
Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Agree,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0
Neutral,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,5.0,5.0,4.0,5.0,5.0,5.0,3.0,2.0
Neutral,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Strongly Disagree,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Neutral,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0
Neutral,Strongly Agree,Neutral,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0
Strongly Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0
Strongly Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Disagree,Neutral,Agree,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Disagree,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0
Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Disagree,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0
Disagree,Neutral,Agree,Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Disagree,5.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0
